open_time,open,high,low,close,volume,quote_volume,trades
2026-03-21T22:19:00Z,65005.04862080329,65017.399874725015,65004.04288039565,65016.39413431738,0.737300954232838,47936.6494360105,1748
2026-03-21T22:20:00Z,65018.59569164148,65036.58024697522,64942.47424066854,64960.45879600228,3.745327493578057,243298.19232411188,2944
2026-03-21T22:21:00Z,64950.09425879987,65031.594561244965,64919.316525703536,65000.81682814863,6.621542448859307,430405.6678381145,695
2026-03-21T22:22:00Z,64989.28607322988,65082.46307833681,64958.25725541429,65051.43426052122,0.6416847024735891,41742.5102389428,945
2026-03-21T22:23:00Z,65041.43613117626,65071.10995753686,64916.807406162945,64946.48123252354,2.014752454367116,130851.08246573464,1811
2026-03-21T22:24:00Z,64939.18082632824,64982.59150596991,64833.11598827339,64876.526667915066,4.896704466585196,317681.1779113133,2376
2026-03-21T22:25:00Z,64872.471987527,64944.60419473071,64811.25885575647,64883.391062960174,1.2815756992021692,83152.97726812096,2300
2026-03-21T22:26:00Z,64880.960146534606,64907.88165035085,64839.49022551955,64866.41172933579,2.8382032675399493,184104.06172379255,371
2026-03-21T22:27:00Z,64866.059777278955,64868.680865117974,64862.88869737961,64865.50978521863,0.9475617375743355,61464.075160726825,1769
2026-03-21T22:28:00Z,64865.32813041211,64869.71690700083,64815.34314616799,64819.731922756706,0.8525030475510176,55259.019005590075,4990
2026-03-21T22:29:00Z,64819.471174562605,64883.17766583939,64803.21807574323,64866.92456702001,5.089043509485805,330110.6014480985,1929
2026-03-21T22:30:00Z,64873.06406004539,64922.23736306884,64859.51988162732,64908.693184650765,3.975857332547222,258067.70374425166,2788
2026-03-21T22:31:00Z,64899.68616916465,64920.12339120195,64891.803150473796,64912.2403725111,4.415094906675075,286593.701849542,1661
2026-03-21T22:32:00Z,64914.03444513223,64977.24107071819,64909.61937603218,64972.82600161814,1.6945912471888964,110102.38224746924,3488
2026-03-21T22:33:00Z,64974.5956312261,65068.82804152233,64903.73731774582,64997.96972804205,4.154667324029478,270044.94095735345,228
2026-03-21T22:34:00Z,64991.177407611,65014.406860435905,64928.533043616735,64951.76249644164,4.973437917247722,323033.5583918714,3031
2026-03-21T22:35:00Z,64954.63182652881,65003.187071014756,64923.03227659039,64971.58752107634,0.5662510916384008,36790.23235928938,3952
2026-03-21T22:36:00Z,64973.590871180466,64988.72412053571,64904.914774539255,64920.0480238945,0.5097279889526871,33091.56552193161,2599
2026-03-21T22:37:00Z,64919.81563555728,64986.30469136076,64900.77369462168,64967.262750425165,0.42417346288608176,27557.38881507779,3081
2026-03-21T22:38:00Z,64954.26346388131,64995.74413350361,64923.097755364535,64964.57842498684,0.23828922781533235,15480.359228238713,3614
2026-03-21T22:39:00Z,64969.76021888417,64977.37435459098,64947.025912068486,64954.6400477753,0.9416246530013144,61162.89039581169,1135
2026-03-21T22:40:00Z,64955.85864496127,65026.34123941184,64847.56314315856,64918.04573760913,1.4115181001682642,91632.99658618652,4575
2026-03-21T22:41:00Z,64920.21402477754,64983.86943064775,64920.10650819882,64983.76191406903,1.2257337369986343,79652.78933516136,883
